node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
FU ZI,16.0,0.0,1.0,16.0,24.775,30.0,0.25,33.0,4.70492,258.73239,4016.0,0.0,
HUANG QI,9.0,0.0,1.0,9.0,19.904,24.0,0.25,29.33333,4.60656,161.47464,2158.0,0.0,
177825366,7.0,0.0,1.0,7.0,20.331,8.0,0.33333,29.0,4.7377,47.58081,1666.0,0.0,
71456946,10.0,0.0,1.0,10.0,15.545,9.0,0.2,30.61667,4.77049,622.77901,6920.0,0.0,
11452543,6.0,0.0,1.0,6.0,18.691,1.0,0.33333,28.33333,4.70492,22.12701,1202.0,0.0,
122173204,10.0,0.0,1.0,10.0,23.153,3.0,0.33333,31.0,4.83607,77.32422,3174.0,0.0,
14163819,6.0,0.0,1.0,6.0,18.801,1.0,0.33333,28.33333,4.70492,18.78793,1090.0,0.0,
177825823,10.0,0.0,1.0,10.0,22.911,1.0,0.33333,31.0,4.83607,77.32422,3174.0,0.0,
177826959,7.0,0.0,1.0,7.0,19.936,1.0,0.33333,29.0,4.7377,31.16133,1474.0,0.0,
20054813,5.0,0.0,1.0,5.0,17.099,1.0,0.33333,27.66667,4.67213,11.96589,682.0,0.0,
20055771,11.0,0.0,1.0,11.0,20.602,4.0,0.33333,31.66667,4.86885,456.01149,4522.0,0.0,
20055812,5.0,0.0,1.0,5.0,16.554,1.0,0.33333,27.66667,4.67213,13.90827,844.0,0.0,
24832659,8.0,0.0,1.0,8.0,21.206,1.0,0.33333,29.66667,4.77049,45.42577,1998.0,0.0,
76189547,8.0,0.0,1.0,8.0,21.59,1.0,0.33333,29.66667,4.77049,46.05776,1882.0,0.0,
78358526,8.0,0.0,1.0,8.0,21.556,1.0,0.33333,29.66667,4.77049,47.01544,1880.0,0.0,
177827759,5.0,0.0,1.0,5.0,14.928,2.0,0.2,27.28333,4.60656,129.52828,1866.0,0.0,
120682,4.0,0.0,1.0,4.0,15.066,1.0,0.33333,27.0,4.63934,7.72445,448.0,0.0,
159891,3.0,0.0,1.0,3.0,12.503,1.0,0.2,25.7,4.5082,3.79233,232.0,0.0,
101220281,9.0,0.0,1.0,9.0,18.442,6.0,0.33333,30.33333,4.80328,283.05518,3538.0,0.0,
5280378,6.0,0.0,1.0,6.0,15.054,2.0,0.2,27.41667,4.5082,155.57661,3308.0,0.0,
5280448,10.0,0.0,1.0,10.0,17.476,5.0,0.33333,31.0,4.83607,523.23072,4318.0,0.0,
11968435,7.0,0.0,1.0,7.0,17.449,2.0,0.25,28.75,4.70492,78.09831,1416.0,0.0,
122097,11.0,0.0,1.0,11.0,21.749,3.0,0.33333,31.66667,4.86885,321.76557,4296.0,0.0,
13943297,10.0,0.0,1.0,10.0,18.57,4.0,0.2,30.36667,4.7377,311.11358,4572.0,0.0,
13996693,8.0,0.0,1.0,8.0,18.736,1.0,0.33333,29.66667,4.77049,155.49016,2456.0,0.0,
5318267,8.0,0.0,1.0,8.0,19.394,1.0,0.33333,29.66667,4.77049,146.83383,2692.0,0.0,
442813,6.0,0.0,1.0,6.0,18.174,1.0,0.33333,28.33333,4.70492,24.32185,1110.0,0.0,
ADH1B,5.0,0.0,1.0,5.0,15.058,1.0,0.25,24.66667,4.21311,19.84269,408.0,0.0,
CCR1,1.0,0.0,1.0,1.0,3.908,1.0,0.16667,20.03333,3.78689,0.0,0.0,0.0,
CTSK,19.0,0.0,1.0,19.0,25.984,34.0,0.25,36.5,5.0,372.55318,6890.0,0.0,
EPHX2,8.0,0.0,1.0,8.0,19.291,1.0,0.25,27.41667,4.40984,64.11039,1038.0,0.0,
GATM,1.0,0.0,1.0,1.0,3.977,1.0,0.16667,18.78333,3.62295,0.0,0.0,0.0,
HTR4,1.0,0.0,1.0,1.0,4.209,1.0,0.16667,20.03333,3.78689,0.0,0.0,0.0,
JAK2,16.0,0.0,1.0,16.0,24.703,1.0,0.25,34.0,4.83607,232.88081,3836.0,0.0,
MAP2K1,6.0,0.0,1.0,6.0,17.027,1.0,0.25,24.58333,4.14754,12.52808,218.0,0.0,
MAPK10,11.0,0.0,1.0,11.0,21.663,1.0,0.25,30.91667,4.70492,203.16271,3154.0,0.0,
MME,1.0,0.0,1.0,1.0,4.575,1.0,0.25,20.5,3.88525,0.0,0.0,0.0,
NQO1,16.0,0.0,1.0,16.0,24.031,1.0,0.25,34.0,4.83607,324.02967,4712.0,0.0,
PDE5A,16.0,0.0,1.0,16.0,24.448,1.0,0.25,36.5,5.16393,606.75986,7306.0,0.0,
PNP,18.0,0.0,1.0,18.0,25.644,1.0,0.25,35.33333,4.90164,379.29791,5994.0,0.0,
S100A9,14.0,0.0,1.0,14.0,23.877,1.0,0.25,33.16667,4.83607,250.13608,4162.0,0.0,
SCN2B,1.0,0.0,1.0,1.0,5.309,1.0,0.25,20.5,3.88525,0.0,0.0,0.0,
SCN5A,2.0,0.0,1.0,2.0,7.257,1.0,0.25,22.66667,4.11475,14.02349,152.0,0.0,
SCN7A,1.0,0.0,1.0,1.0,4.75,1.0,0.25,20.5,3.88525,0.0,0.0,0.0,
TNNC1,1.0,0.0,1.0,1.0,3.902,1.0,0.16667,20.03333,3.78689,0.0,0.0,0.0,
TNNI3,1.0,0.0,1.0,1.0,3.933,1.0,0.16667,20.03333,3.78689,0.0,0.0,0.0,
TNNT2,1.0,0.0,1.0,1.0,4.574,1.0,0.16667,20.03333,3.78689,0.0,0.0,0.0,
ABCG2,3.0,0.0,1.0,3.0,9.528,1.0,0.25,23.08333,4.11475,17.89176,194.0,0.0,
ALOX5,1.0,0.0,1.0,1.0,4.108,1.0,0.25,20.25,3.85246,0.0,0.0,0.0,
ARG2,2.0,0.0,1.0,2.0,6.801,1.0,0.25,20.91667,3.88525,0.85444,12.0,0.0,
ATP1A1,1.0,0.0,1.0,1.0,5.461,1.0,0.25,20.5,3.88525,0.0,0.0,0.0,
CA14,1.0,0.0,1.0,1.0,3.806,1.0,0.16667,18.7,3.52459,0.0,0.0,0.0,
CCL5,2.0,0.0,1.0,2.0,7.92,1.0,0.25,20.91667,3.88525,0.85444,12.0,0.0,
FGF1,2.0,0.0,1.0,2.0,7.509,1.0,0.25,21.41667,3.95082,1.08275,18.0,0.0,
HBB,2.0,0.0,1.0,2.0,7.125,1.0,0.25,22.16667,4.04918,3.26065,68.0,0.0,
HIF1A,1.0,0.0,1.0,1.0,4.096,1.0,0.25,20.25,3.85246,0.0,0.0,0.0,
NAMPT,1.0,0.0,1.0,1.0,4.357,1.0,0.25,20.0,3.81967,0.0,0.0,0.0,
NPR3,1.0,0.0,1.0,1.0,4.868,1.0,0.16667,19.9,3.7541,0.0,0.0,0.0,
PSEN1,2.0,0.0,1.0,2.0,7.439,1.0,0.25,21.41667,3.95082,1.26203,40.0,0.0,
PSEN2,2.0,0.0,1.0,2.0,7.417,1.0,0.25,21.41667,3.95082,1.26203,40.0,0.0,
SERPINE1,1.0,0.0,1.0,1.0,4.043,1.0,0.25,20.25,3.85246,0.0,0.0,0.0,
STAT3,1.0,0.0,1.0,1.0,4.373,1.0,0.25,20.25,3.85246,0.0,0.0,0.0,
