node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
TNNT2,4.0,0.30898,3.0,3.0,3.004,1.0,0.1,4.0,0.68,3.0,6.0,0.66667,
SCN7A,2.0,0.30779,2.0,2.0,2.6,1.0,0.06667,3.33333,0.6,0.0,0.0,1.0,
PSEN2,2.0,0.30779,2.0,2.0,2.625,1.0,0.11429,6.35952,2.74783,0.0,0.0,1.0,
PNP,2.0,0.0,1.0,2.0,6.568,1.0,0.11429,9.06905,4.03478,6.73333,12.0,0.0,
PDE5A,2.0,0.0,1.0,2.0,6.111,6.0,0.2,9.91667,4.5913,180.0,300.0,0.0,
GATM,3.0,0.30779,2.0,3.0,6.929,3.0,0.16,10.23333,4.48696,47.73333,82.0,0.33333,
STAT3,51.0,0.26343,12.0,13.0,12.437,18.0,0.16,16.56667,5.11304,193.26667,334.0,0.23077,
TNNI3,4.0,0.30898,3.0,3.0,2.984,2.0,0.1,4.0,0.68,3.0,6.0,0.66667,
TNNC1,2.0,0.30779,2.0,2.0,2.601,1.0,0.06667,3.16667,0.56,0.0,0.0,1.0,
SERPINE1,18.0,0.45378,5.0,5.0,11.336,1.0,0.13333,11.73333,4.52174,3.16667,10.0,0.7,
SCN5A,4.0,0.30779,2.0,4.0,3.267,6.0,0.1,4.5,0.72,12.0,16.0,0.33333,
SCN2B,2.0,0.30779,2.0,2.0,2.554,1.0,0.06667,3.33333,0.6,0.0,0.0,1.0,
S100A9,1.0,0.0,1.0,1.0,5.684,1.0,0.13333,9.56667,4.34783,0.0,0.0,0.0,
PSEN1,2.0,0.30779,2.0,2.0,2.563,1.0,0.11429,6.35952,2.74783,0.0,0.0,1.0,
NQO1,2.0,0.30779,2.0,2.0,8.249,1.0,0.13333,10.06667,4.38261,0.0,0.0,1.0,
NPR3,3.0,0.0,1.0,3.0,4.487,5.0,0.16,9.03333,4.10435,158.0,254.0,0.0,
NAMPT,7.0,0.46346,3.0,4.0,10.315,2.0,0.13333,11.48333,4.55652,32.4,72.0,0.5,
MME,3.0,0.30779,2.0,3.0,3.435,3.0,0.13333,7.9,3.47826,84.0,132.0,0.33333,
MAP2K1,12.0,0.47366,4.0,4.0,10.752,1.0,0.13333,11.06667,4.45217,0.5,2.0,0.83333,
JAK2,18.0,0.45378,5.0,5.0,11.404,1.0,0.13333,11.56667,4.48696,2.16667,6.0,0.7,
HTR4,1.0,0.0,1.0,1.0,2.854,1.0,0.13333,6.56667,3.33913,0.0,0.0,0.0,
HIF1A,42.0,0.29929,10.0,10.0,12.327,3.0,0.16,14.9,4.97391,85.13333,196.0,0.33333,
FGF1,2.0,0.30779,2.0,2.0,8.376,1.0,0.13333,10.06667,4.38261,0.0,0.0,1.0,
EPHX2,4.0,0.30779,2.0,4.0,7.405,2.0,0.13333,10.31667,4.31304,27.26667,54.0,0.16667,
CCR1,8.0,0.37893,4.0,4.0,10.418,1.0,0.13333,11.31667,4.52174,4.06667,10.0,0.66667,
CCL5,24.0,0.42794,6.0,6.0,11.639,1.0,0.16,12.73333,4.8,21.3,58.0,0.6,
ARG2,8.0,0.46346,3.0,5.0,10.819,21.0,0.2,13.0,5.0087,241.73333,432.0,0.3,
ALOX5,3.0,0.30779,2.0,3.0,8.875,3.0,0.13333,11.31667,4.5913,28.53333,50.0,0.33333,
ADH1B,2.0,0.30779,2.0,2.0,5.247,1.0,0.13333,8.23333,3.89565,0.0,0.0,1.0,
ABCG2,2.0,0.30779,2.0,2.0,8.289,1.0,0.13333,10.06667,4.38261,0.0,0.0,1.0,
